step,train_loss,lr,s_per_step,tokens_seen
278,2.1181,2.80e-05,29.5,1142784
279,2.3794,2.77e-05,30.5,1146880
280,2.1252,2.73e-05,29.1,1150976
281,2.1124,2.69e-05,31.3,1155072
282,2.1780,2.66e-05,28.4,1159168
283,2.1322,2.63e-05,27.9,1163264
284,2.2013,2.59e-05,27.3,1167360
285,1.9912,2.56e-05,28.1,1171456
286,2.3783,2.53e-05,27.6,1175552
287,2.2561,2.50e-05,29.6,1179648
288,2.1691,2.47e-05,27.6,1183744
289,2.1164,2.44e-05,28.1,1187840
290,2.1478,2.41e-05,27.6,1191936
291,2.0683,2.39e-05,27.9,1196032
292,2.3742,2.36e-05,27.4,1200128
293,2.1220,2.33e-05,28.0,1204224
294,1.9294,2.31e-05,27.7,1208320
295,2.1715,2.29e-05,27.4,1212416
296,2.2285,2.26e-05,27.0,1216512
297,2.1700,2.24e-05,27.5,1220608
298,2.1595,2.22e-05,28.3,1224704
299,2.3863,2.20e-05,27.5,1228800
300,2.0096,2.18e-05,27.2,1232896
301,2.3191,2.17e-05,27.9,1236992
302,1.8530,2.15e-05,27.8,1241088
303,2.1434,2.13e-05,29.9,1245184
304,2.3009,2.12e-05,28.3,1249280
305,1.9826,2.10e-05,27.5,1253376
306,2.3865,2.09e-05,27.3,1257472
307,2.0587,2.08e-05,27.4,1261568
308,2.1349,2.07e-05,27.4,1265664
309,1.9899,2.06e-05,27.7,1269760
310,2.2662,2.05e-05,27.7,1273856
311,2.2338,2.04e-05,27.8,1277952
312,2.3287,2.03e-05,27.5,1282048
313,2.2671,2.02e-05,28.9,1286144
314,2.1658,2.02e-05,28.8,1290240
315,2.0060,2.01e-05,27.2,1294336
316,1.9042,2.01e-05,27.5,1298432
317,2.4727,2.00e-05,27.6,1302528
318,2.1714,2.00e-05,27.7,1306624
319,2.3788,2.00e-05,27.3,1310720
