step,train_loss,lr,s_per_step,tokens_seen
227,2.1755,8.56e-06,13.0,933888
228,2.5601,8.45e-06,10.7,937984
229,2.5706,8.35e-06,10.3,942080
230,2.1749,8.24e-06,11.5,946176
231,2.3532,8.13e-06,12.6,950272
232,2.1378,8.02e-06,13.5,954368
233,2.1550,7.92e-06,12.9,958464
234,2.5283,7.81e-06,12.4,962560
235,1.9177,7.71e-06,12.5,966656
236,2.4573,7.60e-06,12.2,970752
237,2.3036,7.50e-06,12.7,974848
238,2.2646,7.40e-06,11.3,978944
239,2.6093,7.30e-06,10.2,983040
240,2.4010,7.20e-06,27.5,987136
241,2.3659,7.10e-06,22.7,991232
242,2.2755,7.00e-06,13.6,995328
243,2.6223,6.91e-06,10.9,999424
244,2.1659,6.81e-06,11.8,1003520
245,2.4398,6.72e-06,12.7,1007616
246,2.5051,6.62e-06,10.3,1011712
247,2.4837,6.53e-06,13.2,1015808
248,2.4650,6.44e-06,13.0,1019904
249,2.3260,6.35e-06,10.8,1024000
250,2.3681,6.26e-06,12.6,1028096
251,2.4509,6.17e-06,16.8,1032192
252,2.5406,6.08e-06,12.2,1036288
253,2.4145,5.99e-06,13.1,1040384
254,2.3357,5.91e-06,12.2,1044480
255,2.3844,5.82e-06,10.0,1048576
256,2.2561,5.74e-06,11.5,1052672
257,2.3949,5.66e-06,12.3,1056768
258,2.3821,5.58e-06,11.3,1060864
259,2.6272,5.50e-06,11.0,1064960
260,2.4539,5.42e-06,12.7,1069056
261,2.5721,5.34e-06,14.1,1073152
262,2.6126,5.27e-06,12.7,1077248
263,2.4071,5.19e-06,10.6,1081344
264,2.3920,5.12e-06,11.5,1085440
265,2.3183,5.04e-06,10.9,1089536
266,2.2712,4.97e-06,10.7,1093632
267,2.3739,4.90e-06,10.9,1097728
268,2.2042,4.83e-06,11.0,1101824
269,2.2050,4.76e-06,11.9,1105920
270,2.3300,4.70e-06,10.3,1110016
271,2.5201,4.63e-06,11.9,1114112
272,2.5553,4.57e-06,11.8,1118208
273,2.4771,4.50e-06,10.5,1122304
274,2.2395,4.44e-06,10.8,1126400
275,2.1414,4.38e-06,9.7,1130496
276,2.4863,4.32e-06,10.0,1134592
277,2.3553,4.26e-06,13.4,1138688
278,2.5043,4.20e-06,10.8,1142784
279,2.4222,4.15e-06,9.6,1146880
280,2.6105,4.09e-06,30.1,1150976
281,2.5642,4.04e-06,23.0,1155072
282,2.3545,3.99e-06,12.9,1159168
283,2.5000,3.94e-06,15.6,1163264
284,2.4178,3.89e-06,10.4,1167360
285,2.3811,3.84e-06,10.2,1171456
286,2.3681,3.79e-06,11.8,1175552
287,2.3582,3.75e-06,13.4,1179648
288,2.3022,3.70e-06,13.7,1183744
289,2.6321,3.66e-06,10.1,1187840
290,2.5342,3.62e-06,12.2,1191936
291,2.2482,3.58e-06,10.9,1196032
292,2.5701,3.54e-06,10.4,1200128
293,2.3209,3.50e-06,11.8,1204224
294,2.2662,3.47e-06,10.1,1208320
295,2.4293,3.43e-06,13.4,1212416
296,2.6558,3.40e-06,10.3,1216512
297,2.7760,3.37e-06,12.4,1220608
298,2.4055,3.33e-06,10.7,1224704
299,2.3885,3.30e-06,12.2,1228800
300,2.3194,3.28e-06,11.5,1232896
301,2.4959,3.25e-06,10.5,1236992
302,2.3034,3.22e-06,14.7,1241088
303,2.4304,3.20e-06,10.5,1245184
304,2.2992,3.18e-06,11.2,1249280
305,2.4170,3.16e-06,12.0,1253376
306,2.4534,3.14e-06,9.8,1257472
307,2.4186,3.12e-06,12.3,1261568
308,2.4450,3.10e-06,11.0,1265664
309,2.4661,3.08e-06,11.0,1269760
310,2.3346,3.07e-06,10.1,1273856
311,2.5261,3.06e-06,12.2,1277952
312,2.4104,3.04e-06,11.7,1282048
313,2.3513,3.03e-06,10.2,1286144
314,2.2456,3.02e-06,12.4,1290240
315,1.7950,3.02e-06,10.1,1294336
316,2.4945,3.01e-06,11.3,1298432
317,2.6538,3.01e-06,10.9,1302528
318,2.3144,3.00e-06,12.9,1306624
319,2.3802,3.00e-06,10.7,1310720
